player_id,web_name,first_name,second_name,team,team_id,position,price,now_cost,ownership,transfers_in_event,transfers_out_event,status,snapshot_time
1,Raya,David,Raya Martín,Arsenal,1,1,6.0,60,34.7,58636,11780,a,2026-04-04T18:26:53.074196
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,1,1,4.0,40,0.4,175,197,a,2026-04-04T18:26:53.074196
4,Setford,Tommy,Setford,Arsenal,1,1,3.9,39,0.2,47,169,a,2026-04-04T18:26:53.074196
7,Calafiori,Riccardo,Calafiori,Arsenal,1,2,5.6,56,6.0,11542,2086,a,2026-04-04T18:26:53.074196
10,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,1,2,5.0,50,1.4,562,495,a,2026-04-04T18:26:53.074196
11,White,Benjamin,White,Arsenal,1,2,5.1,51,0.5,1696,269,a,2026-04-04T18:26:53.074196
13,Clarke,Brayden,Clarke,Arsenal,1,2,3.7,37,0.4,255,216,a,2026-04-04T18:26:53.074196
15,Nichols,Josh,Nichols,Arsenal,1,2,3.7,37,0.2,489,465,a,2026-04-04T18:26:53.074196
19,Martinelli,Gabriel,Martinelli Silva,Arsenal,1,3,6.8,68,0.9,1663,733,a,2026-04-04T18:26:53.074196
24,Nørgaard,Christian,Nørgaard,Arsenal,1,3,5.1,51,0.1,75,55,a,2026-04-04T18:26:53.074196
30,Havertz,Kai,Havertz,Arsenal,1,4,7.3,73,0.5,1212,710,a,2026-04-04T18:26:53.074196
31,G.Jesus,Gabriel,Fernando de Jesus,Arsenal,1,4,6.4,64,0.3,429,1217,a,2026-04-04T18:26:53.074196
662,Mosquera,Cristhian,Mosquera,Arsenal,1,2,5.3,53,0.2,1067,154,a,2026-04-04T18:26:53.074196
666,Gyökeres,Viktor,Gyökeres,Arsenal,1,4,8.8,88,11.6,37190,10898,a,2026-04-04T18:26:53.074196
700,Dowman,Max,Dowman,Arsenal,1,3,4.2,42,0.6,5825,1709,a,2026-04-04T18:26:53.074196
711,Harriman-Annous,Andre,Harriman-Annous,Arsenal,1,3,4.4,44,0.0,13,10,a,2026-04-04T18:26:53.074196
759,Salmon,Marli,Salmon,Arsenal,1,2,4.0,40,0.0,37,36,a,2026-04-04T18:26:53.074196
32,Martinez,Emiliano,Martínez Romero,Aston Villa,2,1,5.1,51,4.8,12534,7801,a,2026-04-04T18:26:53.074196
33,M.Bizot,Marco,Bizot,Aston Villa,2,1,4.2,42,0.4,60,161,a,2026-04-04T18:26:53.074196
36,Cash,Matty,Cash,Aston Villa,2,2,4.7,47,8.6,14719,11185,a,2026-04-04T18:26:53.074196
37,Digne,Lucas,Digne,Aston Villa,2,2,4.5,45,1.6,3027,1252,a,2026-04-04T18:26:53.074196
38,Konsa,Ezri,Konsa Ngoyo,Aston Villa,2,2,4.4,44,8.2,7283,6719,a,2026-04-04T18:26:53.074196
39,Maatsen,Ian,Maatsen,Aston Villa,2,2,4.2,42,0.6,303,1093,a,2026-04-04T18:26:53.074196
40,Mings,Tyrone,Mings,Aston Villa,2,2,4.3,43,0.7,569,933,a,2026-04-04T18:26:53.074196
41,Pau,Pau,Torres,Aston Villa,2,2,4.3,43,0.3,396,247,a,2026-04-04T18:26:53.074196
42,A.García,Andrés,García,Aston Villa,2,2,3.9,39,0.2,142,105,a,2026-04-04T18:26:53.074196
44,Bogarde,Lamare,Bogarde,Aston Villa,2,2,4.0,40,0.5,398,527,a,2026-04-04T18:26:53.074196
47,Rogers,Morgan,Rogers,Aston Villa,2,3,7.5,75,24.2,26781,72023,a,2026-04-04T18:26:53.074196
48,Tielemans,Youri,Tielemans,Aston Villa,2,3,5.9,59,0.6,428,240,a,2026-04-04T18:26:53.074196
49,Bailey,Leon,Bailey,Aston Villa,2,3,5.5,55,0.1,238,194,a,2026-04-04T18:26:53.074196
50,Buendía,Emiliano,Buendía Stati,Aston Villa,2,3,5.3,53,0.4,378,1387,a,2026-04-04T18:26:53.074196
54,McGinn,John,McGinn,Aston Villa,2,3,5.3,53,0.5,4414,414,a,2026-04-04T18:26:53.074196
55,Barkley,Ross,Barkley,Aston Villa,2,3,4.8,48,0.1,817,203,a,2026-04-04T18:26:53.074196
59,Onana,Amadou,Onana,Aston Villa,2,3,4.8,48,0.7,775,859,a,2026-04-04T18:26:53.074196
64,Watkins,Ollie,Watkins,Aston Villa,2,4,8.5,85,8.2,23273,11204,a,2026-04-04T18:26:53.074196
389,Elliott,Harvey,Elliott,Aston Villa,2,3,5.1,51,0.2,90,73,a,2026-04-04T18:26:53.074196
688,Wright,James,Wright,Aston Villa,2,1,3.9,39,0.6,73,249,a,2026-04-04T18:26:53.074196
699,Douglas Luiz,Douglas Luiz,Soares de Paulo,Aston Villa,2,3,4.9,49,0.1,199,427,a,2026-04-04T18:26:53.074196
702,Burrowes,Bradley,Burrowes,Aston Villa,2,3,4.4,44,0.1,23,42,a,2026-04-04T18:26:53.074196
703,Proctor,Sam,Proctor,Aston Villa,2,1,3.9,39,0.6,239,628,a,2026-04-04T18:26:53.074196
710,Patterson,Travis,Patterson,Aston Villa,2,2,3.9,39,0.2,44,110,a,2026-04-04T18:26:53.074196
719,Lindelöf,Victor,Lindelöf,Aston Villa,2,2,4.5,45,0.1,151,155,a,2026-04-04T18:26:53.074196
754,George Hemmings,George,Hemmings,Aston Villa,2,3,4.5,45,0.0,7,13,a,2026-04-04T18:26:53.074196
757,Hollingshead,Ronnie,Hollingshead,Aston Villa,2,1,4.0,40,0.0,14,20,a,2026-04-04T18:26:53.074196
768,Leon Routh,Leon,Routh,Aston Villa,2,2,4.0,40,0.0,15,19,a,2026-04-04T18:26:53.074196
781,Carroll,TJ,Carroll,Aston Villa,2,2,4.0,40,0.0,28,29,a,2026-04-04T18:26:53.074196
792,Alysson,Alysson Edward Franco,da Rocha dos Santos,Aston Villa,2,3,5.0,50,0.0,14,17,a,2026-04-04T18:26:53.074196
808,Abraham,Tammy,Abraham,Aston Villa,2,4,5.9,59,0.2,503,2646,a,2026-04-04T18:26:53.074196
183,Weiss,Max,Weiß,Burnley,3,1,4.3,43,0.1,64,70,a,2026-04-04T18:26:53.074196
185,Hladký,Václav,Hladký,Burnley,3,1,3.9,39,0.2,25,79,a,2026-04-04T18:26:53.074196
187,Walker,Kyle,Walker,Burnley,3,2,4.4,44,1.1,707,780,a,2026-04-04T18:26:53.074196
190,Ekdal,Hjalmar,Ekdal,Burnley,3,2,3.8,38,0.7,242,693,a,2026-04-04T18:26:53.074196
191,Estève,Maxime,Estève,Burnley,3,2,3.9,39,7.7,3836,5894,a,2026-04-04T18:26:53.074196
192,Hartman,Quilindschy,Hartman,Burnley,3,2,4.0,40,0.6,464,630,a,2026-04-04T18:26:53.074196
193,Humphreys,Bashir,Humphreys,Burnley,3,2,3.9,39,0.1,197,256,a,2026-04-04T18:26:53.074196
195,Lucas Pires,Lucas,Pires Silva,Burnley,3,2,3.8,38,0.3,97,378,a,2026-04-04T18:26:53.074196
198,Tuanzebe,Axel,Tuanzebe,Burnley,3,2,3.9,39,0.9,51,468,a,2026-04-04T18:26:53.074196
199,Worrall,Joe,Worrall,Burnley,3,2,3.8,38,0.2,592,411,a,2026-04-04T18:26:53.074196
