player_id,web_name,first_name,second_name,team,team_id,position,price,now_cost,ownership,transfers_in_event,transfers_out_event,status,snapshot_time
1,Raya,David,Raya Martín,Arsenal,1,1,5.9,59,33.2,43068,50314,a,2026-01-28T18:24:55.562951
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,1,1,4.1,41,0.4,192,318,a,2026-01-28T18:24:55.562951
4,Setford,Tommy,Setford,Arsenal,1,1,3.9,39,0.2,156,465,a,2026-01-28T18:24:55.562951
5,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,1,2,6.9,69,37.5,131178,13285,a,2026-01-28T18:24:55.562951
10,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,1,2,5.1,51,1.5,613,1669,a,2026-01-28T18:24:55.562951
11,White,Benjamin,White,Arsenal,1,2,5.1,51,0.6,1634,1681,a,2026-01-28T18:24:55.562951
13,Clarke,Brayden,Clarke,Arsenal,1,2,3.8,38,0.4,255,643,a,2026-01-28T18:24:55.562951
15,Nichols,Josh,Nichols,Arsenal,1,2,3.8,38,0.2,70,191,a,2026-01-28T18:24:55.562951
16,Saka,Bukayo,Saka,Arsenal,1,3,10.0,100,16.6,22416,152508,a,2026-01-28T18:24:55.562951
17,Ødegaard,Martin,Ødegaard,Arsenal,1,3,7.8,78,2.3,5019,11200,a,2026-01-28T18:24:55.562951
18,Madueke,Noni,Madueke,Arsenal,1,3,6.8,68,0.6,515,947,a,2026-01-28T18:24:55.562951
19,Martinelli,Gabriel,Martinelli Silva,Arsenal,1,3,6.8,68,0.9,1125,1591,a,2026-01-28T18:24:55.562951
20,Trossard,Leandro,Trossard,Arsenal,1,3,6.8,68,1.5,6808,13041,a,2026-01-28T18:24:55.562951
21,Rice,Declan,Rice,Arsenal,1,3,7.4,74,31.6,137426,79214,a,2026-01-28T18:24:55.562951
22,Merino,Mikel,Merino Zazón,Arsenal,1,3,5.5,55,1.4,4063,6702,a,2026-01-28T18:24:55.562951
24,Nørgaard,Christian,Nørgaard,Arsenal,1,3,5.1,51,0.1,116,129,a,2026-01-28T18:24:55.562951
26,Zubimendi,Martín,Zubimendi Ibáñez,Arsenal,1,3,5.2,52,2.2,5730,6328,a,2026-01-28T18:24:55.562951
30,Havertz,Kai,Havertz,Arsenal,1,4,7.3,73,0.3,486,469,a,2026-01-28T18:24:55.562951
31,G.Jesus,Gabriel,Fernando de Jesus,Arsenal,1,4,6.4,64,0.4,13166,3343,a,2026-01-28T18:24:55.562951
266,Eze,Eberechi,Eze,Arsenal,1,3,7.3,73,8.3,2223,23758,a,2026-01-28T18:24:55.562951
662,Mosquera,Cristhian,Mosquera,Arsenal,1,2,5.3,53,0.1,276,122,a,2026-01-28T18:24:55.562951
666,Gyökeres,Viktor,Gyökeres,Arsenal,1,4,8.7,87,9.3,8031,11033,a,2026-01-28T18:24:55.562951
711,Harriman-Annous,Andre,Harriman-Annous,Arsenal,1,3,4.4,44,0.0,13,19,a,2026-01-28T18:24:55.562951
725,Hincapie,Piero,Hincapié,Arsenal,1,2,5.1,51,0.7,1260,6563,a,2026-01-28T18:24:55.562951
759,Salmon,Marli,Salmon,Arsenal,1,2,4.0,40,0.0,34,38,a,2026-01-28T18:24:55.562951
32,Martinez,Emiliano,Martínez Romero,Aston Villa,2,1,5.0,50,3.2,16286,8057,a,2026-01-28T18:24:55.562951
33,M.Bizot,Marco,Bizot,Aston Villa,2,1,4.2,42,0.4,187,416,a,2026-01-28T18:24:55.562951
36,Cash,Matty,Cash,Aston Villa,2,2,4.8,48,11.2,43660,26584,a,2026-01-28T18:24:55.562951
37,Digne,Lucas,Digne,Aston Villa,2,2,4.5,45,1.6,2412,3515,a,2026-01-28T18:24:55.562951
38,Konsa,Ezri,Konsa Ngoyo,Aston Villa,2,2,4.4,44,7.4,15681,10081,a,2026-01-28T18:24:55.562951
39,Maatsen,Ian,Maatsen,Aston Villa,2,2,4.2,42,0.5,2117,966,a,2026-01-28T18:24:55.562951
40,Mings,Tyrone,Mings,Aston Villa,2,2,4.3,43,0.5,416,243,a,2026-01-28T18:24:55.562951
41,Pau,Pau,Torres,Aston Villa,2,2,4.3,43,0.3,1240,437,a,2026-01-28T18:24:55.562951
42,A.García,Andrés,García,Aston Villa,2,2,3.9,39,0.2,185,322,a,2026-01-28T18:24:55.562951
44,Bogarde,Lamare,Bogarde,Aston Villa,2,2,4.0,40,0.5,678,976,a,2026-01-28T18:24:55.562951
45,Sousa,Lino,da Cruz Sousa,Aston Villa,2,2,3.8,38,0.3,619,358,a,2026-01-28T18:24:55.562951
47,Rogers,Morgan,Rogers,Aston Villa,2,3,7.7,77,31.3,104714,76088,a,2026-01-28T18:24:55.562951
49,Bailey,Leon,Bailey,Aston Villa,2,3,5.5,55,0.1,427,74,a,2026-01-28T18:24:55.562951
50,Buendía,Emiliano,Buendía Stati,Aston Villa,2,3,5.3,53,0.4,11086,1689,a,2026-01-28T18:24:55.562951
59,Onana,Amadou,Onana,Aston Villa,2,3,4.8,48,0.6,1809,841,a,2026-01-28T18:24:55.562951
60,Broggio,Ben,Broggio,Aston Villa,2,3,4.4,44,0.3,166,356,a,2026-01-28T18:24:55.562951
62,Jimoh-Aloba,Jamaldeen,Jimoh-Aloba,Aston Villa,2,3,4.5,45,0.1,135,144,a,2026-01-28T18:24:55.562951
