player_id,web_name,first_name,second_name,team,team_id,position,price,now_cost,ownership,transfers_in_event,transfers_out_event,status,snapshot_time
1,Raya,David,Raya Martín,Arsenal,1,1,6.0,60,34.5,22368,4534,a,2026-03-23T01:23:02.899991
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,1,1,4.0,40,0.4,44,71,a,2026-03-23T01:23:02.899991
4,Setford,Tommy,Setford,Arsenal,1,1,3.9,39,0.2,16,77,a,2026-03-23T01:23:02.899991
5,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,1,2,7.2,72,43.1,38387,2074,a,2026-03-23T01:23:02.899991
6,Saliba,William,Saliba,Arsenal,1,2,6.1,61,13.2,13582,2057,a,2026-03-23T01:23:02.899991
7,Calafiori,Riccardo,Calafiori,Arsenal,1,2,5.6,56,5.9,1426,792,a,2026-03-23T01:23:02.899991
8,J.Timber,Jurriën,Timber,Arsenal,1,2,6.3,63,27.0,33442,8123,a,2026-03-23T01:23:02.899991
10,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,1,2,5.1,51,1.4,109,181,a,2026-03-23T01:23:02.899991
11,White,Benjamin,White,Arsenal,1,2,5.1,51,0.5,138,81,a,2026-03-23T01:23:02.899991
13,Clarke,Brayden,Clarke,Arsenal,1,2,3.8,38,0.4,24,90,a,2026-03-23T01:23:02.899991
15,Nichols,Josh,Nichols,Arsenal,1,2,3.7,37,0.2,196,208,a,2026-03-23T01:23:02.899991
16,Saka,Bukayo,Saka,Arsenal,1,3,9.8,98,8.0,10211,2803,a,2026-03-23T01:23:02.899991
18,Madueke,Noni,Madueke,Arsenal,1,3,6.8,68,0.9,158,644,a,2026-03-23T01:23:02.899991
19,Martinelli,Gabriel,Martinelli Silva,Arsenal,1,3,6.8,68,0.9,167,261,a,2026-03-23T01:23:02.899991
20,Trossard,Leandro,Trossard,Arsenal,1,3,6.6,66,0.8,319,654,a,2026-03-23T01:23:02.899991
21,Rice,Declan,Rice,Arsenal,1,3,7.3,73,26.2,21885,14226,a,2026-03-23T01:23:02.899991
24,Nørgaard,Christian,Nørgaard,Arsenal,1,3,5.1,51,0.1,13,19,a,2026-03-23T01:23:02.899991
26,Zubimendi,Martín,Zubimendi Ibáñez,Arsenal,1,3,5.1,51,3.6,1055,4652,a,2026-03-23T01:23:02.899991
30,Havertz,Kai,Havertz,Arsenal,1,4,7.3,73,0.5,343,246,a,2026-03-23T01:23:02.899991
31,G.Jesus,Gabriel,Fernando de Jesus,Arsenal,1,4,6.4,64,0.3,111,468,a,2026-03-23T01:23:02.899991
266,Eze,Eberechi,Eze,Arsenal,1,3,7.2,72,8.0,5691,2080,a,2026-03-23T01:23:02.899991
662,Mosquera,Cristhian,Mosquera,Arsenal,1,2,5.3,53,0.1,104,49,a,2026-03-23T01:23:02.899991
666,Gyökeres,Viktor,Gyökeres,Arsenal,1,4,8.8,88,11.5,16888,4014,a,2026-03-23T01:23:02.899991
700,Dowman,Max,Dowman,Arsenal,1,3,4.2,42,0.6,2059,781,a,2026-03-23T01:23:02.899991
711,Harriman-Annous,Andre,Harriman-Annous,Arsenal,1,3,4.4,44,0.0,4,5,a,2026-03-23T01:23:02.899991
725,Hincapie,Piero,Hincapié,Arsenal,1,2,5.1,51,0.8,1999,658,a,2026-03-23T01:23:02.899991
759,Salmon,Marli,Salmon,Arsenal,1,2,4.0,40,0.0,12,16,a,2026-03-23T01:23:02.899991
32,Martinez,Emiliano,Martínez Romero,Aston Villa,2,1,5.1,51,4.8,4662,3251,a,2026-03-23T01:23:02.899991
33,M.Bizot,Marco,Bizot,Aston Villa,2,1,4.2,42,0.4,25,60,a,2026-03-23T01:23:02.899991
36,Cash,Matty,Cash,Aston Villa,2,2,4.7,47,8.6,5235,4744,a,2026-03-23T01:23:02.899991
37,Digne,Lucas,Digne,Aston Villa,2,2,4.5,45,1.5,803,476,a,2026-03-23T01:23:02.899991
38,Konsa,Ezri,Konsa Ngoyo,Aston Villa,2,2,4.4,44,8.2,2720,2818,a,2026-03-23T01:23:02.899991
39,Maatsen,Ian,Maatsen,Aston Villa,2,2,4.2,42,0.6,134,439,a,2026-03-23T01:23:02.899991
40,Mings,Tyrone,Mings,Aston Villa,2,2,4.3,43,0.7,253,355,a,2026-03-23T01:23:02.899991
41,Pau,Pau,Torres,Aston Villa,2,2,4.3,43,0.3,109,104,a,2026-03-23T01:23:02.899991
42,A.García,Andrés,García,Aston Villa,2,2,3.9,39,0.2,58,41,a,2026-03-23T01:23:02.899991
44,Bogarde,Lamare,Bogarde,Aston Villa,2,2,4.0,40,0.5,138,167,a,2026-03-23T01:23:02.899991
47,Rogers,Morgan,Rogers,Aston Villa,2,3,7.5,75,24.4,8625,31240,a,2026-03-23T01:23:02.899991
49,Bailey,Leon,Bailey,Aston Villa,2,3,5.5,55,0.1,85,76,a,2026-03-23T01:23:02.899991
50,Buendía,Emiliano,Buendía Stati,Aston Villa,2,3,5.3,53,0.4,188,528,a,2026-03-23T01:23:02.899991
54,McGinn,John,McGinn,Aston Villa,2,3,5.3,53,0.5,1321,133,a,2026-03-23T01:23:02.899991
55,Barkley,Ross,Barkley,Aston Villa,2,3,4.8,48,0.1,190,68,a,2026-03-23T01:23:02.899991
59,Onana,Amadou,Onana,Aston Villa,2,3,4.8,48,0.7,240,335,a,2026-03-23T01:23:02.899991
64,Watkins,Ollie,Watkins,Aston Villa,2,4,8.5,85,8.1,8297,4677,a,2026-03-23T01:23:02.899991
389,Elliott,Harvey,Elliott,Aston Villa,2,3,5.1,51,0.2,37,29,a,2026-03-23T01:23:02.899991
456,Sancho,Jadon,Sancho,Aston Villa,2,3,5.8,58,0.2,261,80,a,2026-03-23T01:23:02.899991
688,Wright,James,Wright,Aston Villa,2,1,3.9,39,0.6,25,90,a,2026-03-23T01:23:02.899991
