player_id,web_name,first_name,second_name,team,team_id,position,price,now_cost,ownership,transfers_in_event,transfers_out_event,status,snapshot_time
1,Raya,David,Raya Martín,Arsenal,1,1,6.0,60,34.7,50963,9862,a,2026-04-03T01:27:16.713802
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,1,1,4.0,40,0.4,149,178,a,2026-04-03T01:27:16.713802
4,Setford,Tommy,Setford,Arsenal,1,1,3.9,39,0.2,42,158,a,2026-04-03T01:27:16.713802
7,Calafiori,Riccardo,Calafiori,Arsenal,1,2,5.6,56,6.0,8404,1835,a,2026-04-03T01:27:16.713802
10,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,1,2,5.0,50,1.4,476,443,a,2026-04-03T01:27:16.713802
11,White,Benjamin,White,Arsenal,1,2,5.1,51,0.5,1218,226,a,2026-04-03T01:27:16.713802
13,Clarke,Brayden,Clarke,Arsenal,1,2,3.7,37,0.4,155,183,a,2026-04-03T01:27:16.713802
15,Nichols,Josh,Nichols,Arsenal,1,2,3.7,37,0.2,464,431,a,2026-04-03T01:27:16.713802
19,Martinelli,Gabriel,Martinelli Silva,Arsenal,1,3,6.8,68,0.9,999,640,a,2026-04-03T01:27:16.713802
24,Nørgaard,Christian,Nørgaard,Arsenal,1,3,5.1,51,0.1,52,45,a,2026-04-03T01:27:16.713802
30,Havertz,Kai,Havertz,Arsenal,1,4,7.3,73,0.5,1036,613,a,2026-04-03T01:27:16.713802
31,G.Jesus,Gabriel,Fernando de Jesus,Arsenal,1,4,6.4,64,0.3,364,1071,a,2026-04-03T01:27:16.713802
662,Mosquera,Cristhian,Mosquera,Arsenal,1,2,5.3,53,0.1,795,137,a,2026-04-03T01:27:16.713802
666,Gyökeres,Viktor,Gyökeres,Arsenal,1,4,8.8,88,11.6,31597,9587,a,2026-04-03T01:27:16.713802
700,Dowman,Max,Dowman,Arsenal,1,3,4.2,42,0.6,4859,1561,a,2026-04-03T01:27:16.713802
711,Harriman-Annous,Andre,Harriman-Annous,Arsenal,1,3,4.4,44,0.0,12,9,a,2026-04-03T01:27:16.713802
759,Salmon,Marli,Salmon,Arsenal,1,2,4.0,40,0.0,32,36,a,2026-04-03T01:27:16.713802
32,Martinez,Emiliano,Martínez Romero,Aston Villa,2,1,5.1,51,4.8,10928,6871,a,2026-04-03T01:27:16.713802
33,M.Bizot,Marco,Bizot,Aston Villa,2,1,4.2,42,0.4,54,143,a,2026-04-03T01:27:16.713802
36,Cash,Matty,Cash,Aston Villa,2,2,4.7,47,8.6,12739,9609,a,2026-04-03T01:27:16.713802
37,Digne,Lucas,Digne,Aston Villa,2,2,4.5,45,1.6,2550,1090,a,2026-04-03T01:27:16.713802
38,Konsa,Ezri,Konsa Ngoyo,Aston Villa,2,2,4.4,44,8.2,6344,5877,a,2026-04-03T01:27:16.713802
39,Maatsen,Ian,Maatsen,Aston Villa,2,2,4.2,42,0.6,269,984,a,2026-04-03T01:27:16.713802
40,Mings,Tyrone,Mings,Aston Villa,2,2,4.3,43,0.7,506,834,a,2026-04-03T01:27:16.713802
41,Pau,Pau,Torres,Aston Villa,2,2,4.3,43,0.3,330,223,a,2026-04-03T01:27:16.713802
42,A.García,Andrés,García,Aston Villa,2,2,3.9,39,0.2,129,91,a,2026-04-03T01:27:16.713802
44,Bogarde,Lamare,Bogarde,Aston Villa,2,2,4.0,40,0.5,331,465,a,2026-04-03T01:27:16.713802
47,Rogers,Morgan,Rogers,Aston Villa,2,3,7.5,75,24.3,21788,62843,a,2026-04-03T01:27:16.713802
48,Tielemans,Youri,Tielemans,Aston Villa,2,3,5.9,59,0.6,327,217,a,2026-04-03T01:27:16.713802
49,Bailey,Leon,Bailey,Aston Villa,2,3,5.5,55,0.1,209,176,a,2026-04-03T01:27:16.713802
50,Buendía,Emiliano,Buendía Stati,Aston Villa,2,3,5.3,53,0.4,331,1209,a,2026-04-03T01:27:16.713802
54,McGinn,John,McGinn,Aston Villa,2,3,5.3,53,0.5,3687,346,a,2026-04-03T01:27:16.713802
55,Barkley,Ross,Barkley,Aston Villa,2,3,4.8,48,0.1,559,177,a,2026-04-03T01:27:16.713802
59,Onana,Amadou,Onana,Aston Villa,2,3,4.8,48,0.7,650,759,a,2026-04-03T01:27:16.713802
64,Watkins,Ollie,Watkins,Aston Villa,2,4,8.5,85,8.2,21216,9553,a,2026-04-03T01:27:16.713802
389,Elliott,Harvey,Elliott,Aston Villa,2,3,5.1,51,0.2,79,68,a,2026-04-03T01:27:16.713802
688,Wright,James,Wright,Aston Villa,2,1,3.9,39,0.6,64,224,a,2026-04-03T01:27:16.713802
699,Douglas Luiz,Douglas Luiz,Soares de Paulo,Aston Villa,2,3,4.9,49,0.1,172,388,a,2026-04-03T01:27:16.713802
