player_id,web_name,first_name,second_name,team,team_id,position,price,now_cost,ownership,transfers_in_event,transfers_out_event,status,snapshot_time
1,Raya,David,Raya Martín,Arsenal,1,1,6.1,61,42.2,105037,34441,a,2026-09-23T02:32:58.835097
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,1,1,4.9,49,0.1,79,180,a,2026-09-23T02:32:58.835097
3,Meslier,Illan,Meslier,Arsenal,1,1,4.9,49,0.0,36,89,a,2026-09-23T02:32:58.835097
4,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,1,2,8.0,80,22.8,17686,53214,a,2026-09-23T02:32:58.835097
5,J.Timber,Jurriën,Timber,Arsenal,1,2,6.5,65,0.4,9209,2912,a,2026-09-23T02:32:58.835097
7,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,1,3,5.4,54,0.6,667,4136,a,2026-09-23T02:32:58.835097
8,Calafiori,Riccardo,Calafiori,Arsenal,1,2,5.8,58,50.6,58154,49177,a,2026-09-23T02:32:58.835097
9,Hincapie,Piero,Hincapié,Arsenal,1,2,5.2,52,0.9,1059,4684,a,2026-09-23T02:32:58.835097
11,Mosquera,Cristhian,Mosquera,Arsenal,1,2,5.3,53,1.7,886,7340,a,2026-09-23T02:32:58.835097
12,Saka,Bukayo,Saka,Arsenal,1,3,9.5,95,13.5,77355,36160,a,2026-09-23T02:32:58.835097
14,Eze,Eberechi,Eze,Arsenal,1,3,6.3,63,1.0,1580,5293,a,2026-09-23T02:32:58.835097
15,Ødegaard,Martin,Ødegaard,Arsenal,1,3,6.8,68,19.8,58061,71459,a,2026-09-23T02:32:58.835097
16,Madueke,Noni,Madueke,Arsenal,1,3,6.2,62,0.2,558,1251,a,2026-09-23T02:32:58.835097
17,Merino,Mikel,Merino Zazón,Arsenal,1,3,5.8,58,0.4,501,2322,a,2026-09-23T02:32:58.835097
19,Zubimendi,Martín,Zubimendi Ibáñez,Arsenal,1,3,5.3,53,0.6,371,2945,a,2026-09-23T02:32:58.835097
20,Dowman,Max,Dowman,Arsenal,1,3,5.3,53,0.1,346,438,a,2026-09-23T02:32:58.835097
25,Gyökeres,Viktor,Gyökeres,Arsenal,1,4,7.1,71,3.1,4345,12897,a,2026-09-23T02:32:58.835097
26,Havertz,Kai,Havertz,Arsenal,1,4,7.6,76,8.5,45042,36702,a,2026-09-23T02:32:58.835097
31,Konsa,Ezri,Konsa Ngoyo,Arsenal,1,2,4.6,46,19.4,73224,34682,a,2026-09-23T02:32:58.835097
452,Bruno G.,Bruno,Guimarães Rodriguez Moura,Arsenal,1,3,6.7,67,1.8,3948,5923,a,2026-09-23T02:32:58.835097
557,Tzolis,Christos,Tzolis,Arsenal,1,3,6.3,63,12.3,9088,121647,a,2026-09-23T02:32:58.835097
32,Cash,Matty,Cash,Aston Villa,2,2,4.4,44,4.9,2094,20590,a,2026-09-23T02:32:58.835097
33,Mings,Tyrone,Mings,Aston Villa,2,2,4.5,45,0.4,1293,1057,a,2026-09-23T02:32:58.835097
35,Bogarde,Lamare,Bogarde,Aston Villa,2,3,4.9,49,0.1,139,357,a,2026-09-23T02:32:58.835097
37,Lindelöf,Victor,Lindelöf,Aston Villa,2,2,4.5,45,0.3,744,986,a,2026-09-23T02:32:58.835097
38,A.García,Andrés,García,Aston Villa,2,2,4.0,40,1.5,1418,4805,a,2026-09-23T02:32:58.835097
41,Buendía,Emiliano,Buendía Stati,Aston Villa,2,3,5.9,59,1.0,9379,3063,a,2026-09-23T02:32:58.835097
45,McGinn,John,McGinn,Aston Villa,2,3,5.4,54,2.2,5227,6575,a,2026-09-23T02:32:58.835097
46,Barkley,Ross,Barkley,Aston Villa,2,3,5.0,50,0.3,433,1424,a,2026-09-23T02:32:58.835097
47,Kamara,Boubacar,Kamara,Aston Villa,2,3,5.0,50,0.3,992,1230,a,2026-09-23T02:32:58.835097
50,Burrowes,Bradley,Burrowes,Aston Villa,2,3,4.5,45,0.6,486,2705,a,2026-09-23T02:32:58.835097
51,George Hemmings,George,Hemmings,Aston Villa,2,3,4.5,45,1.2,2520,7980,a,2026-09-23T02:32:58.835097
53,Manzambi,Johan,Manzambi,Aston Villa,2,3,5.9,59,0.4,23666,2070,a,2026-09-23T02:32:58.835097
54,Gomes,Joao,Gomes,Aston Villa,2,3,5.5,55,0.0,339,132,a,2026-09-23T02:32:58.835097
56,Abraham,Tammy,Abraham,Aston Villa,2,4,5.5,55,0.2,1231,1325,a,2026-09-23T02:32:58.835097
160,Garnacho,Alejandro,Garnacho Ferreyra,Aston Villa,2,3,5.8,58,0.3,384,2225,a,2026-09-23T02:32:58.835097
166,N.Jackson,Nicolas,Jackson,Aston Villa,2,4,6.5,65,1.4,26960,5829,a,2026-09-23T02:32:58.835097
596,Ruggeri,Matteo,Ruggeri,Aston Villa,2,2,4.5,45,0.1,406,253,a,2026-09-23T02:32:58.835097
597,Suzuki,Zion,Suzuki,Aston Villa,2,1,5.0,50,1.9,10982,4931,a,2026-09-23T02:32:58.835097
606,Rowe,Triston,Rowe,Aston Villa,2,2,4.0,40,0.2,236,718,a,2026-09-23T02:32:58.835097
611,Wan-Bissaka,Aaron,Wan-Bissaka,Aston Villa,2,2,4.5,45,0.2,1129,1123,a,2026-09-23T02:32:58.835097
630,Harwood-Bellis,Taylor,Harwood-Bellis,Aston Villa,2,2,4.5,45,0.0,132,133,a,2026-09-23T02:32:58.835097
631,Mbaye,Ibrahim,Mbaye,Aston Villa,2,3,6.0,60,0.1,697,943,a,2026-09-23T02:32:58.835097
667,Wright,James,Wright,Aston Villa,2,1,4.0,40,0.1,5111,456,a,2026-09-23T02:32:58.835097
57,Petrović,Đorđe,Petrović,Bournemouth,3,1,4.5,45,3.0,4524,8375,a,2026-09-23T02:32:58.835097
58,Forster,Fraser,Forster,Bournemouth,3,1,4.0,40,3.5,6527,5397,a,2026-09-23T02:32:58.835097
60,Hill,James,Hill,Bournemouth,3,2,5.5,55,0.8,2390,2339,a,2026-09-23T02:32:58.835097
61,Truffert,Adrien,Truffert,Bournemouth,3,2,5.4,54,3.0,3530,9602,a,2026-09-23T02:32:58.835097
62,Diakité,Bafodé,Diakité,Bournemouth,3,2,4.9,49,0.2,388,768,a,2026-09-23T02:32:58.835097
64,Smith,Adam,Smith,Bournemouth,3,2,4.5,45,0.1,310,368,a,2026-09-23T02:32:58.835097
66,Soler,Julio,Soler Barreto,Bournemouth,3,2,4.0,40,0.3,600,902,a,2026-09-23T02:32:58.835097
67,Rayan,Rayan Vitor,Simplício Rocha,Bournemouth,3,3,6.3,63,1.6,3031,7956,a,2026-09-23T02:32:58.835097
68,Tavernier,Marcus,Tavernier,Bournemouth,3,3,6.1,61,6.7,65351,33411,a,2026-09-23T02:32:58.835097
69,Scott,Alex,Scott,Bournemouth,3,3,6.1,61,5.7,17059,31266,a,2026-09-23T02:32:58.835097
71,Cook,Lewis,Cook,Bournemouth,3,3,5.0,50,0.2,207,914,a,2026-09-23T02:32:58.835097
72,Gannon-Doak,Ben,Gannon-Doak,Bournemouth,3,3,4.9,49,0.1,106,303,a,2026-09-23T02:32:58.835097
73,Adams,Tyler,Adams,Bournemouth,3,3,5.0,50,0.3,840,1303,a,2026-09-23T02:32:58.835097
74,Brooks,David,Brooks,Bournemouth,3,3,5.0,50,0.1,131,264,a,2026-09-23T02:32:58.835097
75,Christie,Ryan,Christie,Bournemouth,3,3,5.0,50,0.0,232,190,a,2026-09-23T02:32:58.835097
76,Tóth.A,Alex,Tóth,Bournemouth,3,3,4.9,49,0.0,19,45,a,2026-09-23T02:32:58.835097
79,Evanilson,Francisco Evanilson,de Lima Barbosa,Bournemouth,3,4,6.0,60,3.2,13043,16855,a,2026-09-23T02:32:58.835097
