player_id,web_name,first_name,second_name,team,team_id,position,price,now_cost,ownership,transfers_in_event,transfers_out_event,status,snapshot_time
1,Raya,David,Raya Martín,Arsenal,1,1,6.0,60,41.7,33458,6760,a,2026-09-19T19:44:45.295289
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,1,1,4.9,49,0.1,28,47,a,2026-09-19T19:44:45.295289
3,Meslier,Illan,Meslier,Arsenal,1,1,4.9,49,0.0,8,21,a,2026-09-19T19:44:45.295289
4,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,1,2,8.0,80,23.0,3990,14849,a,2026-09-19T19:44:45.295289
5,J.Timber,Jurriën,Timber,Arsenal,1,2,6.5,65,0.3,2596,649,a,2026-09-19T19:44:45.295289
7,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,1,3,5.5,55,0.6,201,1203,a,2026-09-19T19:44:45.295289
8,Calafiori,Riccardo,Calafiori,Arsenal,1,2,5.8,58,50.7,16879,10635,a,2026-09-19T19:44:45.295289
9,Hincapie,Piero,Hincapié,Arsenal,1,2,5.3,53,0.9,259,1183,a,2026-09-19T19:44:45.295289
10,White,Benjamin,White,Arsenal,1,2,5.5,55,5.4,1522,14977,a,2026-09-19T19:44:45.295289
11,Mosquera,Cristhian,Mosquera,Arsenal,1,2,5.3,53,1.7,243,2084,a,2026-09-19T19:44:45.295289
12,Saka,Bukayo,Saka,Arsenal,1,3,9.5,95,13.2,23311,7507,a,2026-09-19T19:44:45.295289
13,Rice,Declan,Rice,Arsenal,1,3,7.4,74,12.4,2369,8373,a,2026-09-19T19:44:45.295289
14,Eze,Eberechi,Eze,Arsenal,1,3,6.3,63,1.0,383,1400,a,2026-09-19T19:44:45.295289
15,Ødegaard,Martin,Ødegaard,Arsenal,1,3,6.8,68,20.0,18535,19459,a,2026-09-19T19:44:45.295289
16,Madueke,Noni,Madueke,Arsenal,1,3,6.2,62,0.2,197,315,a,2026-09-19T19:44:45.295289
17,Merino,Mikel,Merino Zazón,Arsenal,1,3,5.8,58,0.4,148,619,a,2026-09-19T19:44:45.295289
19,Zubimendi,Martín,Zubimendi Ibáñez,Arsenal,1,3,5.3,53,0.6,101,824,a,2026-09-19T19:44:45.295289
20,Dowman,Max,Dowman,Arsenal,1,3,5.3,53,0.1,115,127,a,2026-09-19T19:44:45.295289
25,Gyökeres,Viktor,Gyökeres,Arsenal,1,4,7.2,72,3.1,1276,3616,a,2026-09-19T19:44:45.295289
26,Havertz,Kai,Havertz,Arsenal,1,4,7.6,76,8.5,16888,8038,a,2026-09-19T19:44:45.295289
31,Konsa,Ezri,Konsa Ngoyo,Arsenal,1,2,4.6,46,19.4,35789,8074,a,2026-09-19T19:44:45.295289
452,Bruno G.,Bruno,Guimarães Rodriguez Moura,Arsenal,1,3,6.7,67,1.8,1091,1318,a,2026-09-19T19:44:45.295289
557,Tzolis,Christos,Tzolis,Arsenal,1,3,6.4,64,13.0,2703,46279,a,2026-09-19T19:44:45.295289
32,Cash,Matty,Cash,Aston Villa,2,2,4.4,44,5.0,717,5983,a,2026-09-19T19:44:45.295289
33,Mings,Tyrone,Mings,Aston Villa,2,2,4.5,45,0.4,392,262,a,2026-09-19T19:44:45.295289
