player_id,web_name,first_name,second_name,team,team_id,position,price,now_cost,ownership,transfers_in_event,transfers_out_event,status,snapshot_time
1,Raya,David,Raya Martín,Arsenal,1,1,6.0,60,37.7,11558,8859,a,2026-08-23T00:46:26.150476
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,1,1,5.0,50,0.1,72,312,a,2026-08-23T00:46:26.150476
3,Meslier,Illan,Meslier,Arsenal,1,1,5.0,50,0.0,21,108,a,2026-08-23T00:46:26.150476
4,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,1,2,8.0,80,29.6,7483,17341,a,2026-08-23T00:46:26.150476
7,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,1,3,5.5,55,0.7,2826,1358,a,2026-08-23T00:46:26.150476
8,Calafiori,Riccardo,Calafiori,Arsenal,1,2,5.5,55,40.0,69096,4662,a,2026-08-23T00:46:26.150476
9,Hincapie,Piero,Hincapié,Arsenal,1,2,5.5,55,1.8,973,10488,a,2026-08-23T00:46:26.150476
10,White,Benjamin,White,Arsenal,1,2,5.5,55,4.8,20172,2078,a,2026-08-23T00:46:26.150476
11,Mosquera,Cristhian,Mosquera,Arsenal,1,2,5.5,55,6.2,4186,6571,a,2026-08-23T00:46:26.150476
12,Saka,Bukayo,Saka,Arsenal,1,3,9.5,95,9.7,12479,2616,a,2026-08-23T00:46:26.150476
13,Rice,Declan,Rice,Arsenal,1,3,7.5,75,18.0,7577,24646,a,2026-08-23T00:46:26.150476
14,Eze,Eberechi,Eze,Arsenal,1,3,6.5,65,2.0,1078,9755,a,2026-08-23T00:46:26.150476
15,Ødegaard,Martin,Ødegaard,Arsenal,1,3,6.5,65,8.8,47300,3428,a,2026-08-23T00:46:26.150476
16,Madueke,Noni,Madueke,Arsenal,1,3,6.5,65,0.3,235,1631,a,2026-08-23T00:46:26.150476
17,Merino,Mikel,Merino Zazón,Arsenal,1,3,6.0,60,0.7,642,3221,a,2026-08-23T00:46:26.150476
18,Martinelli,Gabriel,Martinelli Silva,Arsenal,1,3,6.5,65,0.2,269,1698,a,2026-08-23T00:46:26.150476
19,Zubimendi,Martín,Zubimendi Ibáñez,Arsenal,1,3,5.5,55,1.2,329,3889,a,2026-08-23T00:46:26.150476
20,Dowman,Max,Dowman,Arsenal,1,3,5.5,55,0.1,109,599,a,2026-08-23T00:46:26.150476
22,Nwaneri,Ethan,Nwaneri,Arsenal,1,3,5.5,55,0.0,14,80,a,2026-08-23T00:46:26.150476
23,Fábio Vieira,Fábio,Ferreira Vieira,Arsenal,1,3,5.5,55,0.0,25,55,a,2026-08-23T00:46:26.150476
24,Nelson,Reiss,Nelson,Arsenal,1,3,5.5,55,0.0,17,37,a,2026-08-23T00:46:26.150476
25,Gyökeres,Viktor,Gyökeres,Arsenal,1,4,7.5,75,8.7,1320,46185,a,2026-08-23T00:46:26.150476
26,Havertz,Kai,Havertz,Arsenal,1,4,7.5,75,5.9,32156,3430,a,2026-08-23T00:46:26.150476
27,G.Jesus,Gabriel,Fernando de Jesus,Arsenal,1,4,6.0,60,0.4,443,1754,a,2026-08-23T00:46:26.150476
31,Konsa,Ezri,Konsa Ngoyo,Arsenal,1,2,4.5,45,12.8,11400,47481,a,2026-08-23T00:46:26.150476
557,Tzolis,Christos,Tzolis,Arsenal,1,3,6.5,65,25.3,48550,4521,a,2026-08-23T00:46:26.150476
28,Martinez,Emiliano,Martínez Romero,Aston Villa,2,1,5.0,50,4.5,2699,3460,a,2026-08-23T00:46:26.150476
29,M.Bizot,Marco,Bizot,Aston Villa,2,1,4.5,45,0.1,98,64,a,2026-08-23T00:46:26.150476
32,Cash,Matty,Cash,Aston Villa,2,2,4.5,45,9.0,16163,4105,a,2026-08-23T00:46:26.150476
33,Mings,Tyrone,Mings,Aston Villa,2,2,4.5,45,0.4,1500,270,a,2026-08-23T00:46:26.150476
34,Pau,Pau,Torres,Aston Villa,2,2,4.5,45,0.5,1027,302,a,2026-08-23T00:46:26.150476
35,Bogarde,Lamare,Bogarde,Aston Villa,2,3,5.0,50,0.1,249,105,a,2026-08-23T00:46:26.150476
36,Maatsen,Ian,Maatsen,Aston Villa,2,2,4.5,45,0.8,1155,417,a,2026-08-23T00:46:26.150476
37,Lindelöf,Victor,Lindelöf,Aston Villa,2,2,4.5,45,0.3,803,212,a,2026-08-23T00:46:26.150476
38,A.García,Andrés,García,Aston Villa,2,2,4.0,40,1.8,2031,1297,a,2026-08-23T00:46:26.150476
41,Buendía,Emiliano,Buendía Stati,Aston Villa,2,3,6.0,60,1.4,1433,1109,a,2026-08-23T00:46:26.150476
44,Bailey,Leon,Bailey,Aston Villa,2,3,5.5,55,0.2,315,210,a,2026-08-23T00:46:26.150476
45,McGinn,John,McGinn,Aston Villa,2,3,5.5,55,3.3,2275,2323,a,2026-08-23T00:46:26.150476
46,Barkley,Ross,Barkley,Aston Villa,2,3,5.0,50,0.2,487,258,a,2026-08-23T00:46:26.150476
47,Kamara,Boubacar,Kamara,Aston Villa,2,3,5.0,50,0.4,795,475,a,2026-08-23T00:46:26.150476
50,Burrowes,Bradley,Burrowes,Aston Villa,2,3,4.5,45,0.7,995,655,a,2026-08-23T00:46:26.150476
51,George Hemmings,George,Hemmings,Aston Villa,2,3,4.5,45,0.7,548,420,a,2026-08-23T00:46:26.150476
52,Alysson,Alysson Edward Franco,da Rocha dos Santos,Aston Villa,2,3,5.0,50,0.0,133,74,a,2026-08-23T00:46:26.150476
55,Watkins,Ollie,Watkins,Aston Villa,2,4,8.0,80,10.4,3490,8107,a,2026-08-23T00:46:26.150476
160,Garnacho,Alejandro,Garnacho Ferreyra,Aston Villa,2,3,6.0,60,0.6,735,707,a,2026-08-23T00:46:26.150476
